id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,strat_label
28975,Women,Apparel,Apparel Set,Kurta Sets,Blue,Summer,2012.0,Ethnic,Biba Women Blue Churidar Kurta with Dupatta,Kurta Sets
2382,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2018.0,Formal,Red Tape Black Men Formal Shoe,Formal Shoes
58499,Women,Apparel,Dress,Dresses,White,Fall,2012.0,Casual,Tonga White Floral Design Dress,Dresses
50579,Men,Apparel,Innerwear,Briefs,Charcoal,Winter,2016.0,Casual,Chromozome Men Charcoal Pack of 2 Briefs,Briefs
5717,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Basics Men Grey & White Striped T-shirt,Tshirts
17170,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.0,Casual,U.S. Polo Assn. Men Checks Navy Blue Shirt,Shirts
29052,Men,Apparel,Topwear,Tshirts,Charcoal,Summer,2012.0,Casual,ADIDAS Men 3 Fingers Charcoal T-shirt,Tshirts
3126,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Inkfruit Men's City's Knight Grey T-shirt,Tshirts
8298,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,2011.0,Casual,Skechers Men Aiser Black Flip Flop,Flip Flops
21441,Women,Accessories,Belts,Belts,Black,Winter,2012.0,Casual,Roxy Women Curves Black Belt,Belts
38625,Women,Apparel,Topwear,Tshirts,Green,Summer,2012.0,Casual,Nike Women Green Polo T-shirt,Tshirts
29371,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Formal,Genesis Men Striped Blue Shirt,Shirts
15750,Men,Apparel,Innerwear,Innerwear Vests,Navy Blue,Summer,2016.0,Casual,Facit Men Fitness Ves Navy Blue Innerwear Vests,Innerwear Vests
25342,Men,Apparel,Innerwear,Briefs,White,Summer,2016.0,Casual,Levi's Men White Brief,Briefs
43710,Women,Accessories,Jewellery,Bangle,Gold,Summer,2012.0,Casual,Royal Diadem Set of 2 Golden Bangles,Bangle
38205,Women,Accessories,Eyewear,Sunglasses,Silver,Winter,2016.0,Casual,Polaroid Women Sunglasses,Sunglasses
40166,Men,Accessories,Eyewear,Sunglasses,Grey,Winter,2016.0,Casual,Fastrack Men UV Protected Sporty Sunglasses,Sunglasses
49087,Women,Personal Care,Eyes,Kajal and Eyeliner,Blue,Spring,2017.0,Casual,Deborah 24 Ore Eye Pencil 253,Kajal and Eyeliner
27016,Women,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Jealous 21 Women Washed Blue Jeans,Jeans
12531,Women,Apparel,Topwear,Sweatshirts,Pink,Fall,2011.0,Casual,Puma Women Solid Pink Sweatshirts,Sweatshirts
44693,Women,Apparel,Topwear,Tops,White,Summer,2012.0,Casual,Wills Lifestyle Women White & Blue Top,Tops
22189,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2012.0,Casual,Timberland Men Brown Casual Shoes,Casual Shoes
50295,Men,Accessories,Ties,Ties,Black,Summer,2012.0,Formal,Parx Men Black Tie,Ties
47164,Men,Accessories,Belts,Belts,Brown,Summer,2012.0,Casual,Peter England Men Brown Belt,Belts
9823,Women,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Little Miss Women Printed White T-shirt,Tshirts
18828,Men,Accessories,Wallets,Wallets,Brown,Summer,2011.0,Formal,Peter England Men Statements Brown Wallet,Wallets
15908,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Formal,Black Coffee Men Stripes White Shirt,Shirts
28131,Men,Apparel,Innerwear,Briefs,Grey,Summer,2016.0,Casual,Jockey MODERN CLASSIC Mens Grey Briefs 8035,Briefs
6938,Men,Apparel,Topwear,Tshirts,Red,Summer,2011.0,Casual,s.Oliver Men's Denim Dstrct Red T-shirt,Tshirts
51906,Women,Accessories,Bags,Handbags,Black,Summer,2016.0,Casual,Nyk Women Black Romper Baby Handbag,Handbags
44227,Men,Footwear,Shoes,Sports Shoes,Silver,Winter,2012.0,Sports,Nike Men Silver and Black Sports Shoes,Sports Shoes
56095,Women,Personal Care,Lips,Lip Gloss,Nude,Spring,2017.0,Casual,Colorbar Star Timid Apricot Lip Gloss 12,Lip Gloss
16629,Men,Apparel,Topwear,Tshirts,Black,Summer,2016.0,Casual,Facit Men Black Printed T-shirt,Tshirts
45873,Men,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Maxima Men Silver Dial Watch,Watches
49636,Women,Apparel,Bottomwear,Skirts,Blue,Summer,2012.0,Casual,Mineral Blue & White Skirt,Skirts
51887,Women,Accessories,Wallets,Wallets,Pink,Summer,2016.0,Casual,Nyk Women Pink Wallet,Wallets
10335,Women,Apparel,Topwear,Tops,Pink,Fall,2011.0,Casual,United Colors of Benetton Women Striped Magenta Top,Tops
11277,Men,Apparel,Bottomwear,Track Pants,Blue,Fall,2011.0,Sports,Nike Men Crickt Blue Track Pants,Track Pants
45247,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Casio Vintage Collection Digital Watch F-94WA-9DG(D053),Watches
31723,Women,Accessories,Jewellery,Pendant,Gold,Winter,2016.0,Ethnic,Fabindia Women Ananya Gold Pendant,Pendant
38645,Men,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Nike Men White Jdi City T-Shirt,Tshirts
44577,Men,Footwear,Sandal,Sandals,Black,Summer,2012.0,Casual,Coolers Men Black Sandals,Sandals
57877,Women,Personal Care,Lips,Lip Care,Green,Spring,2017.0,Casual,Biotique Bio Lip Sunflower Balm,Lip Care
54575,Women,Apparel,Topwear,Kurtas,Maroon,Summer,2012.0,Ethnic,Sushilas Women Printed Maroon Kurta,Kurtas
56897,Women,Footwear,Shoes,Heels,Maroon,Winter,2012.0,Casual,HM Women Maroon Heels,Heels
25097,Men,Accessories,Wallets,Wallets,Black,Winter,2015.0,Casual,Lino Perros Men Leather Black Wallet,Wallets
26805,Men,Apparel,Bottomwear,Trousers,Black,Summer,2012.0,Formal,Arrow Men Black Flat Front Trousers,Trousers
53043,Women,Apparel,Saree,Sarees,Purple,Fall,2012.0,Ethnic,FNF Printed Purple Sari,Sarees
39642,Men,Footwear,Shoes,Casual Shoes,White,Summer,2012.0,Casual,Lotto Men White Shoes,Casual Shoes
5609,Men,Footwear,Sandal,Sports Sandals,Navy Blue,Spring,2013.0,Casual,ADIDAS Men Receptor Navy Sports Sandals,Sports Sandals
34034,Boys,Apparel,Topwear,Shirts,Navy Blue,Summer,2012.0,Casual,Palm Tree Boys Check Navy Blue Shirt,Shirts
10205,Women,Accessories,Bags,Handbags,Brown,Winter,2015.0,Casual,Murcia Women Rubena Brown Handbags,Handbags
1882,Men,Apparel,Topwear,Tshirts,Red,Winter,2010.0,Casual,FIFA Mens Code Collection Red T-shirt,Tshirts
44525,Men,Footwear,Sandal,Sandals,Black,Summer,2012.0,Casual,Coolers Men Black Sandals,Sandals
36223,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Nike Men Air Quick Handle White & Black Sports Shoes,Sports Shoes
8067,Men,Accessories,Wallets,Wallets,Black,Winter,2016.0,Casual,Fastrack Men Non Leather Red Colour Stiches Black Wallet,Wallets
46940,Women,Personal Care,Fragrance,Perfume and Body Mist,Yellow,Spring,2017.0,Casual,York Women Miss No 1 Perfume,Perfume and Body Mist
35787,Women,Footwear,Shoes,Flats,Grey,Summer,2012.0,Casual,Enroute Women Grey Shoes,Flats
14775,Men,Apparel,Topwear,Shirts,Blue,Fall,2013.0,Formal,Arrow Men Blue Striped Shirt,Shirts
18404,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2011.0,Casual,Skechers Men USA Brown Shoe,Casual Shoes
31060,Women,Apparel,Topwear,Dupatta,Off White,Summer,2012.0,Ethnic,Fabindia Women Off White Chanderi Dupatta,Dupatta
24041,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,Locomotive Men Printed Black T-shirt,Tshirts
54695,Women,Apparel,Topwear,Kurtas,Pink,Fall,2012.0,Ethnic,Shree Women Pink Printed Kurta,Kurtas
54588,Women,Apparel,Topwear,Kurtas,Green,Summer,2012.0,Ethnic,Sushilas Women Printed Green Kurta,Kurtas
30508,Women,Apparel,Innerwear,Bra,Black,Summer,2017.0,Casual,Lovable Women Spice Black Bra,Bra
28073,Men,Apparel,Innerwear,Trunk,Charcoal,Summer,2016.0,Casual,Jockey MC Men Charcoal Grey Midway Classic Trunks 1101,Trunk
8691,Women,Accessories,Eyewear,Sunglasses,Purple,Winter,2016.0,Casual,Fastrack Women Graident Sunglasses P161BK2F,Sunglasses
22598,Women,Apparel,Topwear,Tshirts,Purple,Fall,2011.0,Sports,Nike Women Purple T-shirt,Tshirts
55067,Women,Personal Care,Lips,Lipstick,Pink,Spring,2017.0,Casual,Lakme Enrich Metallics Lipstick 125,Lipstick
21161,Women,Apparel,Topwear,Tops,Grey,Fall,2011.0,Casual,s.Oliver Women Grey Top,Tops
21125,Women,Apparel,Topwear,Tops,Magenta,Fall,2011.0,Casual,s.Oliver Women Solid Magenta Top,Tops
3246,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2010.0,Casual,Puma Men's Benecio Black Coffee Leather Shoe,Casual Shoes
44824,Men,Footwear,Sandal,Sandals,Tan,Winter,2013.0,Casual,Clarks Men Tan Brown Leather Sandals,Sandals
7922,Men,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Casual,Proline Men Green & White Striped Polo T-shirt,Tshirts
56165,Women,Personal Care,Makeup,Kajal and Eyeliner,Brown,Spring,2017.0,Casual,Colorbar I-Define Truffle Eye Pencil 003,Kajal and Eyeliner
20833,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2012.0,Formal,Clarks Men Black Formal Shoes,Formal Shoes
44417,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2018.0,Formal,Red Tape Men Black Formal Shoes,Formal Shoes
6421,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,2011.0,Casual,Lotto Men's Bavarian Black Flip Flop,Flip Flops
34125,Men,Accessories,Belts,Belts,Black,Summer,2012.0,Formal,Turtle Men Reversible Leather Black Belt,Belts
4818,Men,Apparel,Bottomwear,Shorts,Black,Fall,2012.0,Sports,ADIDAS Men's Team Bermuda Black White Short,Shorts
15601,Men,Apparel,Topwear,Jackets,Navy Blue,Fall,2011.0,Sports,Nike Men Football Soccer Navy Blue Jackets,Jackets
44024,Women,Personal Care,Fragrance,Perfume and Body Mist,Pink,Spring,2017.0,Casual,BOSS Women Perfumes,Perfume and Body Mist
55071,Women,Personal Care,Eyes,Mascara,Black,Spring,2017.0,Casual,Lakme Women Absolute Flutter Secrets Dramatic Eyes Mascara B004,Mascara
17421,Men,Accessories,Watches,Watches,Steel,Winter,2016.0,Casual,CASIO ENTICER Men White Dial Analogue Watch A417,Watches
27232,Women,Apparel,Bottomwear,Shorts,Pink,Summer,2012.0,Casual,Doodle Kids Girl Check Pink Shorts,Shorts
44831,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Puma Men Black Faas Graphic T-shirt,Tshirts
44997,Men,Accessories,Watches,Watches,Grey,Winter,2016.0,Casual,Maxima Men Scuba Digital Watch,Watches
35986,Women,Apparel,Topwear,Tshirts,Purple,Summer,2012.0,Casual,Flying Machine Women Cotton Purple T-shirt,Tshirts
52859,Women,Accessories,Jewellery,Earrings,White,Summer,2012.0,Casual,Adrika White Earrings,Earrings
9547,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Sports,Nike Men Manu Cshss Training Grey T-Shirts,Tshirts
5040,Men,Footwear,Flip Flops,Flip Flops,Navy Blue,Summer,2011.0,Sports,Fila Men's Talus Navy Flip Flop,Flip Flops
57068,Women,Apparel,Topwear,Jackets,Blue,Summer,2012.0,Casual,Elle Women Navy Blue Jacket,Jackets
7841,Women,Footwear,Shoes,Sports Shoes,Grey,Fall,2011.0,Sports,Puma Women's Vesta Runner NM Grey Violet Blue Shoe,Sports Shoes
49949,Men,Apparel,Loungewear and Nightwear,Lounge Shorts,Grey Melange,Summer,2016.0,Casual,Hanes Men Grey Melange Shorts,Lounge Shorts
25382,Men,Apparel,Innerwear,Innerwear Vests,White,Summer,2016.0,Casual,Levis Men White Innerwear Vest,Innerwear Vests
53795,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Puma Men Black T-shirt,Tshirts
25482,Unisex,Footwear,Flip Flops,Flip Flops,Blue,Summer,2012.0,Casual,Nike Unisex Solarsoft Thong Blue Flip Flops,Flip Flops
16094,Women,Accessories,Eyewear,Sunglasses,Red,Winter,2016.0,Casual,M tv Women My Fab Eyewear Red Sunglasses,Sunglasses
26375,Men,Footwear,Flip Flops,Flip Flops,Yellow,Summer,2012.0,Casual,Fila Men Summer Fun Flip Flops,Flip Flops
38467,Women,Accessories,Wallets,Wallets,Purple,Summer,2012.0,Casual,Baggit Women Purple Wallet,Wallets
43324,Women,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,United Colors of Benetton Women White T-shirt,Tshirts
28263,Men,Personal Care,Fragrance,Deodorant,Blue,Spring,2017.0,Casual,Gatsby Men Aqua Deo,Deodorant
41442,Men,Footwear,Shoes,Sports Shoes,White,Fall,2012.0,Casual,Lee Cooper Men White Sports Shoes,Sports Shoes
15549,Men,Accessories,Socks,Socks,Black,Fall,2012.0,Sports,Fila Men Pack of 3 Socks,Socks
12537,Men,Apparel,Bottomwear,Track Pants,Grey,Fall,2011.0,Casual,Puma Men Solid Grey Track Pants,Track Pants
41725,Women,Footwear,Shoes,Heels,Red,Winter,2012.0,Casual,Catwalk Women Red Heels,Heels
10166,Men,Footwear,Flip Flops,Flip Flops,Red,Fall,2011.0,Casual,United Colors of Benetton Men Carribean Red Flip Flops,Flip Flops
22612,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Sports,Nike Men Black Jersey,Tshirts
55463,Women,Personal Care,Lips,Lipstick,Maroon,Spring,2017.0,Casual,Revlon Super Lusterous Perfectly Plum Lipstick 325,Lipstick
56153,Women,Personal Care,Eyes,Kajal and Eyeliner,Blue,Spring,2017.0,Casual,Colorbar I-Glide Glowing Saphire Eye Pencil 010,Kajal and Eyeliner
44638,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2012.0,Sports,Nike Men Black Multicourt Sports Shoes,Sports Shoes
25295,Women,Accessories,Bags,Handbags,Purple,Summer,2012.0,Casual,Lino Perros Women Sporty Purple Handbag,Handbags
33482,Women,Accessories,Belts,Belts,Blue,Summer,2012.0,Casual,Baggit Women Flora Dum Blue Belt,Belts
39510,Unisex,Accessories,Bags,Backpacks,Black,Summer,2012.0,Casual,Peter England Unisex Black Backpack,Backpacks
28016,Men,Apparel,Innerwear,Trunk,White,Winter,2016.0,Casual,Jockey ZONE STRETCH Men Zone Stretch White Trunks US20,Trunk
28852,Men,Apparel,Topwear,Tshirts,Brown,Summer,2013.0,Casual,Proline Brown Polo T-shirt,Tshirts
22933,Women,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Fastrack Women White Casual Watch,Watches
28240,Men,Personal Care,Fragrance,Deodorant,Blue,Spring,2017.0,Casual,Park Avenue Men Good Morning Deo,Deodorant
14881,Women,Accessories,Bags,Handbags,Black,Summer,2011.0,Casual,United Colors of Benetton Women Solid Black Handbags,Handbags
34949,Women,Apparel,Saree,Sarees,Black,Summer,2012.0,Ethnic,Fabindia Women H& Printed Black Sari,Sarees
2862,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2011.0,Casual,Inkfruit Men's Stumped Navy Blue T-shirt,Tshirts
35360,Women,Footwear,Shoes,Heels,Yellow,Summer,2012.0,Casual,Senorita Women Yellow & Purple Flats,Heels
33980,Women,Apparel,Bottomwear,Stockings,Black,Summer,2012.0,Casual,Femella Women Black Stockings,Stockings
56809,Women,Apparel,Topwear,Kurtis,Yellow,Summer,2012.0,Ethnic,Aneri Women Printed Beige Kurti,Kurtis
56966,Women,Footwear,Shoes,Heels,Black,Winter,2012.0,Casual,HM Women Black Flats,Heels
15461,Men,Apparel,Bottomwear,Tracksuits,Black,Fall,2011.0,Sports,Puma Men Black Tracksuit,Tracksuits
13580,Men,Apparel,Innerwear,Innerwear Vests,White,Summer,2016.0,Casual,Hanes Men Pack of 2 Half Contrast Piping Ringer T-shirts,Innerwear Vests
40194,Women,Apparel,Topwear,Kurtis,Mustard,Summer,2012.0,Ethnic,Mumbai Slang Women Mustard Kurti,Kurtis
26179,Women,Footwear,Shoes,Heels,Gold,Winter,2012.0,Casual,Rocia Women Golden Heels,Heels
38129,Unisex,Accessories,Bags,Backpacks,Black,Summer,2015.0,Casual,Wildcraft Unisex Black & Green Printed Backpack,Backpacks
57363,Women,Apparel,Innerwear,Bra,Grey,Winter,2015.0,Casual,Amante Grey Lace Full-Coverage Bra BGVT01,Bra
14390,Women,Footwear,Shoes,Heels,Brown,Winter,2015.0,Casual,Catwalk Women Casual Brown Heels,Heels
30952,Women,Apparel,Topwear,Tops,Peach,Summer,2012.0,Ethnic,Fabindia Women Printed Peach Top,Tops
52864,Women,Accessories,Jewellery,Earrings,Red,Summer,2012.0,Casual,Adrika Red Earrings,Earrings
39122,Women,Apparel,Bottomwear,Leggings,Blue,Fall,2012.0,Casual,Aneri Women Blue Leggings,Leggings
39467,Women,Apparel,Topwear,Kurtis,White,Summer,2012.0,Ethnic,Diva Women White Printed Kurti,Kurtis
6228,Women,Apparel,Topwear,Tshirts,Pink,Summer,2011.0,Casual,UCB Women's Basic Round Pink T-shirt,Tshirts
57429,Women,Apparel,Topwear,Tshirts,Blue,Summer,2015.0,Casual,Angry Birds Women Blue T-shirt,Tshirts
34277,Women,Apparel,Topwear,Dupatta,Off White,Summer,2012.0,Ethnic,Fabindia Women Kota Tepchi Off White Dupatta,Dupatta
33063,Men,Apparel,Topwear,Shirts,Khaki,Summer,2012.0,Casual,U.S. Polo Assn. Denim Co. Men Checked Khaki Shirts,Shirts
56034,Women,Personal Care,Lips,Lipstick,Brown,Spring,2017.0,Casual,ColorBar Soft Touch Mistique Lipstick 013,Lipstick
55354,Women,Personal Care,Nails,Nail Polish,Beige,Spring,2017.0,Casual,Revlon Sand Mist Nail Polish 394,Nail Polish
13637,Men,Apparel,Innerwear,Innerwear Vests,Grey,Summer,2016.0,Casual,Hanes Men Grey Premium Sleeveless Crew T-shirt,Innerwear Vests
28912,Men,Accessories,Bags,Laptop Bag,Black,Summer,2015.0,Casual,CABARELLI Men Black Laptop bag,Laptop Bag
25523,Women,Apparel,Topwear,Shirts,Pink,Summer,2012.0,Casual,Wrangler Women Cory Pink Shirt,Shirts
3841,Women,Footwear,Shoes,Flats,White,Summer,2011.0,Casual,Crocs Women Lady Oyster Flats,Flats
21811,Men,Accessories,Wallets,Wallets,Brown,Winter,2016.0,Casual,Fossil Men Flyby Brown Wallet,Wallets
18384,Men,Apparel,Innerwear,Innerwear Vests,Black,Summer,2016.0,Casual,Undercolors of Benetton Men Racer Black Innerwear Vest,Innerwear Vests
17293,Unisex,Accessories,Bags,Backpacks,Red,Fall,2011.0,Casual,Nike Unisex Backpack,Backpacks
10079,Unisex,Footwear,Sandal,Sandals,Black,Fall,2011.0,Casual,Reebok Unisex Twist Black Sandals,Sandals
11446,Women,Apparel,Topwear,Tops,White,Fall,2011.0,Casual,United Colors of Benetton Women White Light Winter Top,Tops
13659,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Formal,Genesis Men Red Stripe Shirt,Shirts
22850,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,2012.0,Casual,Woodland Men Brown Casual Shoes,Casual Shoes
49732,Men,Accessories,Ties,Ties,Blue,Summer,2012.0,Casual,Park Avenue Men Blue Tie,Ties
39339,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2012.0,Sports,FILA Men Black Flow Verve Sports Shoes,Sports Shoes
14061,Men,Apparel,Topwear,Tshirts,Purple,Fall,2011.0,Casual,Flying Machine Men Printed Purple Tshirts,Tshirts
47319,Women,Accessories,Bags,Clutches,Black,Summer,2012.0,Casual,Baggit Women Black Bunny Rosy Purse,Clutches
47382,Women,Accessories,Bags,Handbags,Pink,Summer,2012.0,Casual,Baggit Women Pink Bag,Handbags
48025,Women,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Helix Women White Dial Watch,Watches
33362,Women,Accessories,Wallets,Wallets,Black,Fall,2012.0,Casual,Baggit Women Karma Crush Black Wallet,Wallets
15855,Unisex,Footwear,Sandal,Sandals,Grey,Fall,2012.0,Casual,Warner Bros Kids Unisex TJ Jerry  Grey Sandals,Sandals
